year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2015,-0.6,1.29,9.77,-0.37,False,False,False,R1_RETURN_ENGINE
2016,32.89,13.59,9.41,8.33,True,True,True,R1_RETURN_ENGINE
2017,18.2,20.78,31.49,15.96,False,False,True,R1_RETURN_ENGINE
2018,16.85,-5.25,-1.85,-3.36,True,True,True,R1_RETURN_ENGINE
2019,24.87,31.09,38.41,24.06,False,False,True,R1_RETURN_ENGINE
2020,22.76,17.24,45.97,17.07,True,False,True,R1_RETURN_ENGINE
2021,34.38,30.51,29.24,16.51,True,True,True,R1_RETURN_ENGINE
2022,-20.72,-18.65,-33.22,-22.94,False,True,True,R1_RETURN_ENGINE
2023,19.88,26.71,55.91,16.36,False,False,True,R1_RETURN_ENGINE
2024,21.11,25.59,27.74,12.35,False,False,True,R1_RETURN_ENGINE
2025,26.07,18.01,21.01,12.39,True,True,True,R1_RETURN_ENGINE
2026,11.37,10.62,18.25,5.93,True,False,True,R1_RETURN_ENGINE
2015,-1.75,1.29,9.77,-0.37,False,False,False,R2_DEFENSIVE_ENGINE
2016,18.52,13.59,9.41,8.33,True,True,True,R2_DEFENSIVE_ENGINE
2017,14.52,20.78,31.49,15.96,False,False,False,R2_DEFENSIVE_ENGINE
2018,5.97,-5.25,-1.85,-3.36,True,True,True,R2_DEFENSIVE_ENGINE
2019,18.96,31.09,38.41,24.06,False,False,False,R2_DEFENSIVE_ENGINE
2020,17.51,17.24,45.97,17.07,True,False,True,R2_DEFENSIVE_ENGINE
2021,21.01,30.51,29.24,16.51,False,False,True,R2_DEFENSIVE_ENGINE
2022,-14.05,-18.65,-33.22,-22.94,True,True,True,R2_DEFENSIVE_ENGINE
2023,11.18,26.71,55.91,16.36,False,False,False,R2_DEFENSIVE_ENGINE
2024,16.96,25.59,27.74,12.35,False,False,True,R2_DEFENSIVE_ENGINE
2025,14.01,18.01,21.01,12.39,False,False,True,R2_DEFENSIVE_ENGINE
2026,6.77,10.62,18.25,5.93,False,False,True,R2_DEFENSIVE_ENGINE
2015,-2.82,1.29,9.77,-0.37,False,False,False,R3_CORE_SATELLITE
2016,15.95,13.59,9.41,8.33,True,True,True,R3_CORE_SATELLITE
2017,20.35,20.78,31.49,15.96,False,False,True,R3_CORE_SATELLITE
2018,9.46,-5.25,-1.85,-3.36,True,True,True,R3_CORE_SATELLITE
2019,19.14,31.09,38.41,24.06,False,False,False,R3_CORE_SATELLITE
2020,30.56,17.24,45.97,17.07,True,False,True,R3_CORE_SATELLITE
2021,30.05,30.51,29.24,16.51,False,True,True,R3_CORE_SATELLITE
2022,-19.81,-18.65,-33.22,-22.94,False,True,True,R3_CORE_SATELLITE
2023,21.34,26.71,55.91,16.36,False,False,True,R3_CORE_SATELLITE
2024,22.71,25.59,27.74,12.35,False,False,True,R3_CORE_SATELLITE
2025,21.49,18.01,21.01,12.39,True,True,True,R3_CORE_SATELLITE
2026,12.82,10.62,18.25,5.93,True,False,True,R3_CORE_SATELLITE
2015,-3.17,1.29,9.77,-0.37,False,False,False,R4_BENCHMARK_AWARE
2016,23.73,13.59,9.41,8.33,True,True,True,R4_BENCHMARK_AWARE
2017,20.38,20.78,31.49,15.96,False,False,True,R4_BENCHMARK_AWARE
2018,7.52,-5.25,-1.85,-3.36,True,True,True,R4_BENCHMARK_AWARE
2019,20.69,31.09,38.41,24.06,False,False,False,R4_BENCHMARK_AWARE
2020,25.04,17.24,45.97,17.07,True,False,True,R4_BENCHMARK_AWARE
2021,22.91,30.51,29.24,16.51,False,False,True,R4_BENCHMARK_AWARE
2022,-18.06,-18.65,-33.22,-22.94,True,True,True,R4_BENCHMARK_AWARE
2023,20.0,26.71,55.91,16.36,False,False,True,R4_BENCHMARK_AWARE
2024,24.08,25.59,27.74,12.35,False,False,True,R4_BENCHMARK_AWARE
2025,18.49,18.01,21.01,12.39,True,False,True,R4_BENCHMARK_AWARE
2026,11.57,10.62,18.25,5.93,True,False,True,R4_BENCHMARK_AWARE
2015,-1.14,1.29,9.77,-0.37,False,False,False,R6_SIMPLE_BLEND
2016,25.72,13.59,9.41,8.33,True,True,True,R6_SIMPLE_BLEND
2017,16.41,20.78,31.49,15.96,False,False,True,R6_SIMPLE_BLEND
2018,11.26,-5.25,-1.85,-3.36,True,True,True,R6_SIMPLE_BLEND
2019,21.99,31.09,38.41,24.06,False,False,False,R6_SIMPLE_BLEND
2020,19.91,17.24,45.97,17.07,True,False,True,R6_SIMPLE_BLEND
2021,27.61,30.51,29.24,16.51,False,False,True,R6_SIMPLE_BLEND
2022,-17.46,-18.65,-33.22,-22.94,True,True,True,R6_SIMPLE_BLEND
2023,14.29,26.71,55.91,16.36,False,False,False,R6_SIMPLE_BLEND
2024,19.1,25.59,27.74,12.35,False,False,True,R6_SIMPLE_BLEND
2025,19.87,18.01,21.01,12.39,True,False,True,R6_SIMPLE_BLEND
2026,9.13,10.62,18.25,5.93,False,False,True,R6_SIMPLE_BLEND
2015,-0.63,1.29,9.77,-0.37,False,False,False,R5_DRAWDOWN_CONTROLLED
2016,19.28,13.59,9.41,8.33,True,True,True,R5_DRAWDOWN_CONTROLLED
2017,6.2,20.78,31.49,15.96,False,False,False,R5_DRAWDOWN_CONTROLLED
2018,4.15,-5.25,-1.85,-3.36,True,True,True,R5_DRAWDOWN_CONTROLLED
2019,0.0,31.09,38.41,24.06,False,False,False,R5_DRAWDOWN_CONTROLLED
2020,0.0,17.24,45.97,17.07,False,False,False,R5_DRAWDOWN_CONTROLLED
2021,0.0,30.51,29.24,16.51,False,False,False,R5_DRAWDOWN_CONTROLLED
2022,0.0,-18.65,-33.22,-22.94,True,True,True,R5_DRAWDOWN_CONTROLLED
2023,0.0,26.71,55.91,16.36,False,False,False,R5_DRAWDOWN_CONTROLLED
2024,0.0,25.59,27.74,12.35,False,False,False,R5_DRAWDOWN_CONTROLLED
2025,0.0,18.01,21.01,12.39,False,False,False,R5_DRAWDOWN_CONTROLLED
2026,0.0,10.62,18.25,5.93,False,False,False,R5_DRAWDOWN_CONTROLLED
2015,5.73,1.29,9.77,-0.37,True,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2016,30.04,13.59,9.41,8.33,True,True,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2017,25.17,20.78,31.49,15.96,True,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2018,5.79,-5.25,-1.85,-3.36,True,True,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2019,27.26,31.09,38.41,24.06,False,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2020,43.17,17.24,45.97,17.07,True,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2021,29.35,30.51,29.24,16.51,False,True,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2022,-25.04,-18.65,-33.22,-22.94,False,True,False,R7_V6_PLUS_R13_RESEARCH_ONLY
2023,33.02,26.71,55.91,16.36,True,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2024,29.11,25.59,27.74,12.35,True,True,True,R7_V6_PLUS_R13_RESEARCH_ONLY
2025,11.23,18.01,21.01,12.39,False,False,False,R7_V6_PLUS_R13_RESEARCH_ONLY
2026,14.19,10.62,18.25,5.93,True,False,True,R7_V6_PLUS_R13_RESEARCH_ONLY
