total_return,CAGR,sharpe,sortino,max_drawdown,calmar,annual_volatility,win_years_vs_spy,win_years_vs_qqq,win_years_vs_6040,strategy,turnover,total_cost,num_rebalances,exposure,concentration_risk,top_contributor_pct,recent_years_score,recent_years_label,v16_score
845.14,21.54,1.391,1.92,-22.21,0.97,14.85,0.8333333333333334,0.4166666666666667,0.9166666666666666,V16_A_M7_VOL_MANAGED,0.1513,7532.47,601,1,HIGH,38.65,-20,NEGATIVE,30.0
346.58,13.88,1.095,1.104,-16.92,0.82,12.63,0.5833333333333334,0.3333333333333333,0.6666666666666666,V16_B_M7_DD_BREAKER,0.1019,2753.75,601,1,HIGH,39.21,-20,NEGATIVE,0.0
561.59,17.83,1.187,1.391,-14.78,1.206,14.77,0.5833333333333334,0.4166666666666667,0.9166666666666666,V16_C_M7_STRESS_FILTER,0.1248,4568.09,601,1,HIGH,39.89,-20,NEGATIVE,5.0
231.55,10.97,0.988,0.949,-12.45,0.881,11.2,0.5,0.3333333333333333,0.5833333333333334,V16_D_M7_ALL_CONTROLS,0.0914,2117.54,601,1,HIGH,41.82,-20,NEGATIVE,0.0
238.17,11.16,0.994,0.958,-12.69,0.88,11.31,0.5,0.3333333333333333,0.5833333333333334,V16_E_M6_ALL_CONTROLS,0.0872,2040.6,601,1,HIGH,41.47,-20,NEGATIVE,0.0
511.35,17.03,1.28,1.702,-18.57,0.917,12.97,0.5,0.3333333333333333,0.8333333333333334,V16_F_V14_AGGRESSIVE_CAPPED,0.1485,5305.88,601,1,MEDIUM,30.76,-20,NEGATIVE,50.0
280.62,12.31,1.093,1.128,-20.65,0.596,11.23,0.4166666666666667,0.3333333333333333,0.6666666666666666,V16_G_BENCHMARK_CAPTURE_CAPPED,0.0878,2319.54,601,1,HIGH,35.68,-20,NEGATIVE,0.0
710.27,19.92,1.103,1.354,-27.38,0.728,17.99,0.75,0.4166666666666667,0.9166666666666666,V16_H_SMOOTH_REGIME_ALLOC,0.045,2054.61,601,1,MEDIUM,33.67,-20,NEGATIVE,15.0
657.04,19.22,1.21,1.629,-29.98,0.641,15.57,0.6666666666666666,0.4166666666666667,0.8333333333333334,V15_M7_BASELINE,0.1722,7314.27,601,1,HIGH,38.39,-20,NEGATIVE,0.0
697.92,19.76,1.186,1.625,-26.89,0.735,16.38,0.6666666666666666,0.3333333333333333,0.75,V14_RETURN_ENGINE,0.1815,8221.12,601,1,HIGH,39.76,-20,NEGATIVE,0.0
687.61,19.63,1.166,1.525,-33.72,0.582,16.6,0.6666666666666666,0.5,0.8333333333333334,V6_AGGRESSIVE_ENGINE,0.1327,5487.7,601,1,HIGH,42.72,-20,NEGATIVE,0.0
