strategy,sector,weight
B0_SPY,ETF,0.25
B1_EQUAL_WEIGHT,ENERGY,0.5
B1_EQUAL_WEIGHT,FIN,0.5
B1_EQUAL_WEIGHT,HEALTH,0.5
B1_EQUAL_WEIGHT,STAPLES,0.5
B1_EQUAL_WEIGHT,TECH,2.0
B3_MOMENTUM,TECH,0.75
B4_MOM_TREND,HEALTH,0.25
B4_MOM_TREND,TECH,0.5
B6_COMPOSITE,TECH,0.75
S1_MOMENTUM_12_1_TOP20,TECH,0.75
S2_MOMENTUM_TREND_TOP20,HEALTH,0.25
S2_MOMENTUM_TREND_TOP20,TECH,0.5
S3_LOW_VOL_MOMENTUM_TOP20,ENERGY,0.5
S3_LOW_VOL_MOMENTUM_TOP20,TECH,0.25
S4_CORRECTED_COMPOSITE_TOP20,TECH,0.75
S7_SECTOR_NEUTRAL_COMPOSITE,ENERGY,0.25
S7_SECTOR_NEUTRAL_COMPOSITE,FIN,0.25
S7_SECTOR_NEUTRAL_COMPOSITE,HEALTH,0.25
S7_SECTOR_NEUTRAL_COMPOSITE,STAPLES,0.25
S7_SECTOR_NEUTRAL_COMPOSITE,TECH,0.5
