ticker,signal,current_rank,previous_rank,rank_change,target_weight,previous_weight,model_score,composite_score,strategy_source,sector,main_factor_1,main_factor_2,main_factor_3,market_regime,confidence,reason,entry_plan,exit_plan,latest_feature_date,latest_signal_date,next_review,data_freshness_days
AAPL,AVOID,4,5,1,0.0,0.0,0.5581,0.625,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,above_sma200,rank_mom_252_skip_20,TREND,0.625,rank=4 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
AMD,HOLD,1,1,0,0.1,0.1,2.5797,1.0,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,mom_252_skip_20,mom_60,TREND,1.0,rank=1 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
AMZN,AVOID,10,11,1,0.0,0.0,0.2777,0.2812,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,rank_mom_60,rank_mom_252_skip_20,DEFENSIVE,0.281,rank=10 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
AVGO,AVOID,3,3,0,0.0,0.0,0.6085,0.8594,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,above_sma200,rank_mom_60,TREND,0.859,rank=3 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
BAC,HOLD,12,13,1,0.2,0.2,0.1132,0.6406,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,sma_200,above_sma200,rank_mom_60,TREND,0.641,rank=12 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
COST,AVOID,14,14,0,0.0,0.0,0.0074,0.2656,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,sma_200,rank_mom_120,composite_score,DEFENSIVE,0.266,rank=14 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
CVX,AVOID,8,9,1,0.0,0.0,0.3239,0.625,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,sma_200,above_sma200,rank_mom_120,TREND,0.625,rank=8 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
GOOGL,HOLD,2,2,0,0.1,0.1,1.3368,0.8594,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,mom_252_skip_20,above_sma200,TREND,0.859,rank=2 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
JPM,AVOID,13,12,-1,0.0,0.0,0.0848,0.5781,S8_SECTOR_NEUTRAL_MOMENTUM,FIN,sma_200,above_sma200,rank_mom_60,TREND,0.578,rank=13 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
LLY,HOLD,7,10,3,0.2,0.2,0.4016,0.7344,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,sma_200,above_sma200,rank_mom_60,TREND,0.734,rank=7 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
META,AVOID,15,15,0,0.0,0.0,-0.1059,0.1562,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,rank_mom_60,composite_score,DEFENSIVE,0.156,rank=15 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
MSFT,AVOID,16,16,0,0.0,0.0,-0.1513,0.1094,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,rank_mom_60,composite_score,DEFENSIVE,0.109,rank=16 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
NVDA,AVOID,5,4,-1,0.0,0.0,0.4377,0.6719,S8_SECTOR_NEUTRAL_MOMENTUM,TECH,sma_200,above_sma200,rank_mom_252_skip_20,TREND,0.672,rank=5 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
UNH,AVOID,9,8,-1,0.0,0.0,0.2828,0.8438,S8_SECTOR_NEUTRAL_MOMENTUM,HEALTH,sma_200,above_sma200,rank_mom_60,TREND,0.844,rank=9 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
WMT,HOLD,11,7,-4,0.2,0.2,0.2197,0.2188,S8_SECTOR_NEUTRAL_MOMENTUM,STAPLES,sma_200,rank_mom_252_skip_20,rank_mom_120,DEFENSIVE,0.219,rank=11 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
XOM,HOLD,6,6,0,0.2,0.2,0.4087,0.6562,S8_SECTOR_NEUTRAL_MOMENTUM,ENERGY,sma_200,above_sma200,rank_mom_120,TREND,0.656,rank=6 strategy=S8_SECTOR_NEUTRAL_MOMENTUM,next_open,rank>14,2026-06-26,2026-06-26,2026-07-03,14
