strategy,year,return_pct,beats_ew
S1_MOMENTUM_12_1,2016,15.83,False
S1_MOMENTUM_12_1,2017,11.99,False
S1_MOMENTUM_12_1,2018,-1.7,False
S1_MOMENTUM_12_1,2019,16.31,False
S1_MOMENTUM_12_1,2020,15.39,False
S1_MOMENTUM_12_1,2021,7.29,False
S1_MOMENTUM_12_1,2022,-4.72,True
S1_MOMENTUM_12_1,2023,30.06,False
S1_MOMENTUM_12_1,2024,21.47,False
S1_MOMENTUM_12_1,2025,10.27,False
S1_MOMENTUM_12_1,2026,5.34,False
S2_MOMENTUM_TREND,2016,29.83,False
S2_MOMENTUM_TREND,2017,10.13,False
S2_MOMENTUM_TREND,2018,10.08,True
S2_MOMENTUM_TREND,2019,17.73,False
S2_MOMENTUM_TREND,2020,12.9,False
S2_MOMENTUM_TREND,2021,24.84,False
S2_MOMENTUM_TREND,2022,-7.12,True
S2_MOMENTUM_TREND,2023,14.28,False
S2_MOMENTUM_TREND,2024,12.51,False
S2_MOMENTUM_TREND,2025,-1.81,False
S2_MOMENTUM_TREND,2026,16.07,False
S3_LOW_VOL_MOMENTUM,2016,27.64,False
S3_LOW_VOL_MOMENTUM,2017,7.36,False
S3_LOW_VOL_MOMENTUM,2018,13.89,True
S3_LOW_VOL_MOMENTUM,2019,20.62,False
S3_LOW_VOL_MOMENTUM,2020,17.2,False
S3_LOW_VOL_MOMENTUM,2021,22.08,False
S3_LOW_VOL_MOMENTUM,2022,-4.73,True
S3_LOW_VOL_MOMENTUM,2023,13.78,False
S3_LOW_VOL_MOMENTUM,2024,9.84,False
S3_LOW_VOL_MOMENTUM,2025,0.27,False
S3_LOW_VOL_MOMENTUM,2026,10.04,False
S4_CORRECTED_COMPOSITE,2016,28.83,False
S4_CORRECTED_COMPOSITE,2017,6.04,False
S4_CORRECTED_COMPOSITE,2018,5.15,True
S4_CORRECTED_COMPOSITE,2019,21.83,False
S4_CORRECTED_COMPOSITE,2020,12.29,False
S4_CORRECTED_COMPOSITE,2021,18.79,False
S4_CORRECTED_COMPOSITE,2022,-1.04,True
S4_CORRECTED_COMPOSITE,2023,16.24,False
S4_CORRECTED_COMPOSITE,2024,20.71,False
S4_CORRECTED_COMPOSITE,2025,2.04,False
S4_CORRECTED_COMPOSITE,2026,6.64,False
S5_XGBRANKER,2016,14.85,False
S5_XGBRANKER,2017,13.86,False
S5_XGBRANKER,2018,-2.24,False
S5_XGBRANKER,2019,18.58,False
S5_XGBRANKER,2020,11.94,False
S5_XGBRANKER,2021,35.74,False
S5_XGBRANKER,2022,-6.23,True
S5_XGBRANKER,2023,22.94,False
S5_XGBRANKER,2024,21.14,False
S5_XGBRANKER,2025,-2.84,False
S5_XGBRANKER,2026,16.12,False
S7_SECTOR_NEUTRAL_COMPOSITE,2016,46.0,False
S7_SECTOR_NEUTRAL_COMPOSITE,2017,28.71,False
S7_SECTOR_NEUTRAL_COMPOSITE,2018,8.04,True
S7_SECTOR_NEUTRAL_COMPOSITE,2019,27.44,False
S7_SECTOR_NEUTRAL_COMPOSITE,2020,10.29,False
S7_SECTOR_NEUTRAL_COMPOSITE,2021,48.35,False
S7_SECTOR_NEUTRAL_COMPOSITE,2022,-10.26,True
S7_SECTOR_NEUTRAL_COMPOSITE,2023,44.6,False
S7_SECTOR_NEUTRAL_COMPOSITE,2024,34.21,False
S7_SECTOR_NEUTRAL_COMPOSITE,2025,14.46,False
S7_SECTOR_NEUTRAL_COMPOSITE,2026,13.22,False
S8_SECTOR_NEUTRAL_MOMENTUM,2016,51.56,True
S8_SECTOR_NEUTRAL_MOMENTUM,2017,29.73,False
S8_SECTOR_NEUTRAL_MOMENTUM,2018,-2.65,False
S8_SECTOR_NEUTRAL_MOMENTUM,2019,39.21,False
S8_SECTOR_NEUTRAL_MOMENTUM,2020,11.32,False
S8_SECTOR_NEUTRAL_MOMENTUM,2021,44.1,False
S8_SECTOR_NEUTRAL_MOMENTUM,2022,-2.93,True
S8_SECTOR_NEUTRAL_MOMENTUM,2023,41.36,False
S8_SECTOR_NEUTRAL_MOMENTUM,2024,46.74,True
S8_SECTOR_NEUTRAL_MOMENTUM,2025,19.18,False
S8_SECTOR_NEUTRAL_MOMENTUM,2026,21.88,True
S6_ENSEMBLE_COMPOSITE_RANKER,2016,16.73,False
S6_ENSEMBLE_COMPOSITE_RANKER,2017,9.07,False
S6_ENSEMBLE_COMPOSITE_RANKER,2018,1.64,False
S6_ENSEMBLE_COMPOSITE_RANKER,2019,18.8,False
S6_ENSEMBLE_COMPOSITE_RANKER,2020,14.87,False
S6_ENSEMBLE_COMPOSITE_RANKER,2021,25.63,False
S6_ENSEMBLE_COMPOSITE_RANKER,2022,-9.07,True
S6_ENSEMBLE_COMPOSITE_RANKER,2023,23.44,False
S6_ENSEMBLE_COMPOSITE_RANKER,2024,21.17,False
S6_ENSEMBLE_COMPOSITE_RANKER,2025,14.43,False
S6_ENSEMBLE_COMPOSITE_RANKER,2026,12.52,False
