ticker,signal_date,signal,target_weight,previous_weight,overlay,risk_exposure,strategy_source,paper_trading_start
SHY,2026-07-10,BUY,0.35,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
BSX,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
CHTR,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
ECHO,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
LULU,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
TSCO,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
TTD,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
WBD,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
ZTS,2026-07-10,BUY,0.05,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
CRWD,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
INTC,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
INTU,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
MRVL,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
MU,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
STX,2026-07-10,BUY,0.04,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
GLW,2026-07-10,BUY,0.01,0.0,R0_BASE_S5,1.0,S5_XGBRANKER_LIVE,2026-07-10
