factor,mean_ic,median_ic,ic_std,ic_ir,hit_rate_ic_positive,stability_score
rank_mom_60,0.4929,0.5433,0.2646,1.8627,0.9472,0.7354
rank_trend,0.406,0.4608,0.2635,1.5406,0.9091,0.7365
trend_stack,0.406,0.4608,0.2635,1.5406,0.9091,0.7365
rank_mom_120,0.3463,0.3882,0.3107,1.1147,0.8472,0.6893
near_52w_high_score,0.3153,0.3538,0.2585,1.2197,0.8677,0.7415
price_volume_breakout,0.3116,0.2739,0.1452,2.1468,0.9839,0.8548
rank_low_vol,0.0988,0.1309,0.3469,0.2849,0.6491,0.6531
rank_mom_252_skip_20,0.0498,0.0733,0.3236,0.1538,0.5774,0.6764
earnings_proxy_gap,0.0171,0.0773,0.2338,0.0733,0.5366,0.7662
abnormal_volume,0.0009,0.0,0.1802,0.0052,0.4761,0.8198
rank_volume_attention,0.0009,0.0,0.1802,0.0052,0.4761,0.8198
reversal_1w,-0.4391,-0.4822,0.278,-1.5794,0.083,0.722
