year,auc,logloss,n_test
2017,0.8294694348327565,0.3918547458257414,1938
2018,0.8507295867894377,0.3675549336893323,1954
2019,0.8295320658307599,0.38463573503738896,1989
2020,0.8082015558033615,0.3980174057829209,1911
2021,0.8641193548387097,0.3609758254378692,1950
2022,0.8086933065446292,0.3983463839398712,1989
2023,0.8656704617330802,0.35483670919384824,1989
2024,0.8822552740261189,0.35050505823011274,1989
2025,0.8678467741935484,0.36079199500763715,1950
2026,0.888111839157706,0.34141667499609185,936
